"Time [ms]","InducedVoltage(Phase_A)-InducedVoltage(Phase_B) [V]"
6.24000000000001,-129.347493643197
6.28000000000001,-126.158181885102
6.32000000000001,-124.059827970616
6.36000000000001,-121.892206795808
6.40000000000001,-120.283666660041
6.44000000000001,-118.500835133244
6.48000000000001,-116.700437021635
6.52000000000001,-113.400185479471
6.56000000000001,-107.817388866058
6.60000000000001,-103.072119511756
6.64000000000001,-98.5288991281165
6.68000000000001,-93.8741496988641
6.72000000000002,-89.4610259649348
6.76000000000002,-86.34503363024
6.80000000000002,-83.5040226036067
6.84000000000002,-79.1874365884647
6.88000000000002,-73.7844232192881
6.92000000000002,-68.4121619623643
6.96000000000002,-63.6945468764371
7.00000000000002,-59.8068783494401
7.04000000000002,-56.8039831861791
7.08000000000002,-52.3491772140041
7.12000000000002,-47.0420252065007
7.16000000000002,-40.3992521827854
7.20000000000002,-32.0930786369394
7.24000000000002,-22.8650770487817
7.28000000000002,-14.2359545353246
7.32000000000002,-7.1251587045753
7.36000000000002,1.0853400867945
7.40000000000002,9.48816853574809
7.44000000000002,17.4534233862707
7.48000000000002,25.9175189187069
7.52000000000002,34.9910597124366
7.56000000000002,43.2114245621403
7.60000000000002,48.7155504696263
7.64000000000002,53.5787140559914
7.68000000000002,57.7875986283217
7.72000000000002,61.4144125614512
7.76000000000002,65.0543246288441
7.80000000000002,70.0894147065024
7.84000000000002,75.9655741245299
7.88000000000002,80.9251869238185
7.92000000000002,83.9868365501438
7.96000000000002,87.0617717459703
8.00000000000002,91.2809251197959
8.04000000000002,95.357186166049
8.08000000000002,100.022303580416
8.12000000000002,104.778412692445
8.16000000000002,109.802420827119
8.20000000000002,114.513704002992
8.24000000000002,117.174485824116
8.28000000000002,119.310685543616
8.32000000000002,120.874574122929
8.36000000000002,122.463692621237
8.40000000000002,124.908906579296
8.44000000000002,127.346638007694
8.48000000000002,130.170460076822
8.52000000000002,133.515326457309
8.56000000000002,135.666580913476
8.60000000000002,136.322317051159
8.64000000000002,138.122069107959
8.68000000000002,140.734453441279
8.72000000000002,144.064068320465
8.76000000000002,149.497982080582
8.80000000000002,158.315490465053
8.84000000000002,166.838901877234
8.88000000000002,171.50512163032
8.92000000000002,174.430083443944
8.96000000000002,176.970906936211
9.00000000000002,179.74840224262
9.04000000000002,182.088925710099
9.08000000000002,183.981252802945
9.12000000000002,186.515522784472
9.16000000000002,189.255072661671
9.20000000000002,190.846036056524
9.24000000000002,191.641063290674
9.28000000000002,189.187237011995
9.32000000000002,186.020069395054
9.36000000000002,185.136624524508
9.40000000000002,187.118481948389
9.44000000000002,189.841260465791
9.48000000000002,191.884547575564
9.52000000000002,190.424803647184
9.56000000000002,187.637606656933
9.60000000000002,185.991491568708
9.64000000000002,183.692421367123
9.68000000000002,181.482716983047
9.72000000000002,178.544184520628
9.76000000000002,176.096288458219
9.80000000000002,173.539233507662
9.84000000000002,170.298013186544
9.88000000000002,164.361826511464
9.92000000000002,155.331240217994
9.96000000000002,147.491612976417
10,142.269884215534
10.04,139.986345930599
10.08,137.497020976932
10.12,135.840019721852
10.16,134.901186555918
10.2,132.987187589196
10.24,129.34749364658
10.28,126.158181885798
10.32,124.059827970593
10.36,121.892206796302
10.4,120.283666662861
10.44,118.500835133194
10.48,116.700437023254
10.52,113.400185479911
10.56,107.817388871203
10.6,103.07211951352
10.64,98.5288991322553
10.68,93.8741497008243
10.72,89.4610259631134
10.76,86.3450336332162
10.8,83.5040226056055
10.84,79.187436592841
10.88,73.7844232206661
10.92,68.4121619650764
10.96,63.6945468788421
11,59.8068783515263
11.04,56.8039831855962
11.08,52.3491772192057
11.12,47.0420252091267
11.16,40.399252185844
11.2,32.0930786422154
11.24,22.8650770538699
11.28,14.2359545404782
11.32,7.1251587044667
11.36,-1.08534008197611
11.4,-9.4881685288005
11.44,-17.4534233856424
11.48,-25.9175189133591
11.52,-34.9910597060882
11.56,-43.2114245594236
11.6,-48.7155504689182
11.64,-53.5787140534254
11.68,-57.7875986243336
11.72,-61.4144125617676
11.76,-65.0543246247325
11.8,-70.0894147051719
11.84,-75.9655741191492
11.88,-80.9251869253521
11.92,-83.9868365485895
11.96,-87.0617717436503
12,-91.2809251158886
12.04,-95.3571861643833
12.08,-100.022303576576
12.12,-104.778412691403
12.16,-109.802420827362
12.2,-114.513704000466
12.24,-117.174485820805
12.28,-119.310685541993
12.32,-120.874574123904
12.36,-122.463692619432
12.4,-124.908906577628
12.44,-127.346638006487
12.48,-130.170460077213
12.52,-133.515326455215
12.56,-135.666580911973
12.6,-136.322317052858
12.64,-138.122069104652
12.68,-140.73445343903
12.72,-144.064068319384
12.76,-149.497982078153
12.8,-158.31549045932
12.84,-166.838901874339
12.88,-171.505121627536
12.92,-174.430083441937
12.96,-176.970906936815
13,-179.74840224236
13.04,-182.088925706571
13.08,-183.98125280272
13.12,-186.515522780896
13.16,-189.255072662094
13.2,-190.846036055486
13.24,-191.641063290951
13.28,-189.18723701498
13.3,-186.285996841027
