"Time [ms]","L(Phase_A,Phase_B) [uH]"
3.72000000000001,-234.320897043113
3.76000000000001,-217.767499553644
3.80000000000001,-194.124906433256
3.84000000000001,-169.806579288978
3.88000000000001,-145.573443085784
3.92000000000001,-122.600700670788
3.96000000000001,-100.34262531581
4.00000000000001,-80.1386387779862
4.04000000000001,-62.9088806806299
4.08000000000001,-49.635026255774
4.12000000000001,-42.0769639496194
4.16000000000001,-41.950619109951
4.20000000000001,-45.7552340377387
4.24000000000001,-51.1937469077357
4.28000000000001,-56.8612405731932
4.32000000000001,-62.0403546819167
4.36000000000001,-66.1187711389501
4.40000000000001,-69.2037894891857
4.44000000000001,-71.2917574289726
4.48000000000001,-72.3216459480767
4.52000000000001,-71.1509982455913
4.56000000000001,-65.0902269632018
4.60000000000001,-54.7744708031583
4.64000000000001,-42.3499062445082
4.68000000000001,-31.3776383637314
4.72000000000001,-23.9034859375853
4.76000000000001,-20.5369569111991
4.80000000000001,-21.6326002821155
4.84000000000001,-27.5636078154299
4.88000000000001,-38.3307386600405
4.92000000000001,-46.9281009607294
4.96000000000001,-58.2271595352873
5.00000000000001,-70.7386047018221
5.04000000000001,-84.5316272519109
5.08000000000001,-107.385178870698
5.12000000000001,-148.513759923338
5.16000000000001,-190.686784920485
5.20000000000001,-230.729102510075
5.24000000000001,-267.127513005611
5.28000000000001,-300.657851785654
5.32000000000001,-331.004636100893
5.36000000000001,-357.376387880102
5.40000000000001,-379.405454114023
5.44000000000001,-395.926113962124
5.48000000000001,-405.701254745355
5.52000000000001,-410.914204465294
5.56000000000001,-414.042192469104
5.60000000000001,-417.159678531265
5.64000000000001,-420.708898237864
5.68000000000001,-425.254889983677
5.72000000000001,-431.153643490061
5.76000000000001,-438.468581270712
5.80000000000001,-446.650172532167
5.84000000000001,-455.923018416342
5.88000000000001,-468.45898882295
5.92000000000001,-484.762673040746
5.96000000000001,-502.704345359294
6.00000000000001,-518.796465326241
6.04000000000001,-530.479418439431
6.08000000000001,-535.124440030094
6.12000000000001,-532.528782206197
6.16000000000001,-524.090883267808
6.20000000000001,-512.014797842653
6.24000000000001,-500.654272015465
6.28000000000001,-491.044024084956
6.32000000000001,-483.084264517207
6.36000000000001,-477.007231412779
6.40000000000001,-470.560168682725
6.44000000000001,-455.530935464338
6.48000000000001,-440.850271070833
6.52000000000001,-430.84047841156
6.56000000000001,-425.734614737759
6.60000000000001,-425.306482459139
6.64000000000001,-428.25304966824
6.68000000000001,-432.912813649453
6.72000000000002,-436.524838549562
6.76000000000002,-436.708435557213
6.80000000000002,-430.994254404674
6.84000000000002,-419.341531980824
6.88000000000002,-405.650075756807
6.92000000000002,-392.050184082164
6.96000000000002,-378.662978868644
7.00000000000002,-368.532178555807
7.04000000000002,-360.060558395803
7.08000000000002,-352.959018632737
7.12000000000002,-347.007599705353
7.16000000000002,-341.505551536412
7.20000000000002,-333.171418882413
7.24000000000002,-323.456655952121
7.28000000000002,-316.198501445207
7.32000000000002,-310.82684159475
7.36000000000002,-305.691527243555
7.40000000000002,-299.719629854049
7.44000000000002,-292.79434355849
7.48000000000002,-284.833240385303
7.52000000000002,-275.860931960975
7.56000000000002,-266.646881099301
7.60000000000002,-259.118407380191
7.64000000000002,-251.308108514297
7.68000000000002,-243.309018719101
7.72000000000002,-234.320897044996
7.76000000000002,-217.767499554038
7.80000000000002,-194.124906433495
7.84000000000002,-169.806579289194
7.88000000000002,-145.573443086328
7.92000000000002,-122.600700671629
7.96000000000002,-100.342625317261
8.00000000000002,-80.1386387803647
8.04000000000002,-62.9088806842535
8.08000000000002,-49.6350262608592
8.12000000000002,-42.0769639568448
8.16000000000002,-41.9506191182456
